Here follows the list of all hangar vehicles:
Aircraft id=airForceOne, position=x=20, y=25, type=AIRPORT
Aircraft id=airForceTwo, position=x=20, y=25, type=AIRPORT
Helicopter id=helicopter1, position=x=20, y=25, type=AIRPORT
Helicopter id=helicopter2, position=x=20, y=25, type=AIRPORT
Boat id=boat1, position=x=30, y=35, type=HARBOUR
Boat id=boat2, position=x=30, y=35, type=HARBOUR
JetSki id=jetski1, position=x=30, y=35, type=HARBOUR
JetSki id=jetski2, position=x=30, y=35, type=HARBOUR
Seaplane id=seaplane1, position=x=30, y=35, type=HARBOUR
Seaplane id=seaplane2, position=x=30, y=35, type=HARBOUR
Motorbike id=motorbike1, position=x=40, y=45, type=GARAGE
Motorbike id=motorbike2, position=x=40, y=45, type=GARAGE
Car id=car1, position=x=40, y=45, type=GARAGE
Car id=car2, position=x=40, y=45, type=GARAGE
